dataset,class_name,num_samples,shvit_acc,dhvit_acc,dhvit_loss
imagenet200,n02129604,50,0.96,0.6,0.36
imagenet200,n04591713,50,0.5,0.32,0.18
imagenet200,n02106166,50,0.8,0.64,0.16000000000000003
imagenet200,n02749479,50,0.52,0.36,0.16000000000000003
imagenet200,n03481172,50,0.52,0.36,0.16000000000000003
imagenet200,n02814860,50,0.74,0.6,0.14
imagenet200,n03494278,50,0.76,0.62,0.14
imagenet200,n04141076,50,0.72,0.58,0.14
imagenet200,n02808440,50,0.42,0.28,0.13999999999999996
imagenet200,n02088364,50,0.86,0.74,0.12
imagenet200,n03773504,50,0.48,0.36,0.12
imagenet200,n02098286,50,0.92,0.82,0.10000000000000009
imagenet200,n03372029,50,0.32,0.22,0.1
imagenet200,n02117135,50,0.9,0.8,0.09999999999999998
imagenet200,n02123045,50,0.64,0.54,0.09999999999999998
imagenet200,n02138441,50,0.88,0.78,0.09999999999999998
imagenet200,n02325366,50,0.78,0.68,0.09999999999999998
imagenet200,n07695742,50,0.76,0.66,0.09999999999999998
imagenet200,n01694178,50,0.8,0.72,0.08000000000000007
imagenet200,n01910747,50,0.9,0.82,0.08000000000000007
imagenet200,n03594945,50,0.8,0.72,0.08000000000000007
imagenet200,n10565667,50,0.92,0.84,0.08000000000000007
imagenet200,n01494475,50,0.86,0.78,0.07999999999999996
imagenet200,n02051845,50,0.98,0.9,0.07999999999999996
imagenet200,n02094433,50,0.64,0.56,0.07999999999999996
imagenet200,n02097298,50,0.74,0.66,0.07999999999999996
imagenet200,n02219486,50,0.76,0.68,0.07999999999999996
imagenet200,n02364673,50,0.84,0.76,0.07999999999999996
imagenet200,n02655020,50,0.88,0.8,0.07999999999999996
imagenet200,n03602883,50,0.72,0.64,0.07999999999999996
imagenet200,n03775071,50,0.74,0.66,0.07999999999999996
imagenet200,n07742313,50,0.94,0.86,0.07999999999999996
imagenet200,n07920052,50,0.7,0.62,0.07999999999999996
imagenet200,n02009912,50,0.92,0.86,0.06000000000000005
imagenet200,n02088094,50,0.88,0.82,0.06000000000000005
imagenet200,n02096585,50,0.9,0.84,0.06000000000000005
imagenet200,n02119022,50,0.64,0.58,0.06000000000000005
imagenet200,n02165456,50,0.88,0.82,0.06000000000000005
imagenet200,n02843684,50,0.9,0.84,0.06000000000000005
imagenet200,n02951358,50,1.0,0.94,0.06000000000000005
imagenet200,n04254680,50,0.92,0.86,0.06000000000000005
imagenet200,n04266014,50,0.92,0.86,0.06000000000000005
imagenet200,n04487394,50,0.64,0.58,0.06000000000000005
imagenet200,n07720875,50,0.9,0.84,0.06000000000000005
imagenet200,n02110185,50,0.5,0.44,0.06
imagenet200,n04192698,50,0.5,0.44,0.06
imagenet200,n04522168,50,0.48,0.42,0.06
imagenet200,n07734744,50,0.4,0.34,0.06
imagenet200,n02128385,50,0.82,0.76,0.05999999999999994
imagenet200,n02980441,50,0.84,0.78,0.05999999999999994
imagenet200,n03424325,50,0.82,0.76,0.05999999999999994
imagenet200,n03467068,50,0.84,0.78,0.05999999999999994
imagenet200,n04133789,50,0.72,0.66,0.05999999999999994
imagenet200,n04275548,50,0.72,0.66,0.05999999999999994
imagenet200,n07697313,50,0.94,0.88,0.05999999999999994
imagenet200,n01514859,50,0.86,0.82,0.040000000000000036
imagenet200,n02056570,50,0.92,0.88,0.040000000000000036
imagenet200,n02088238,50,0.76,0.72,0.040000000000000036
imagenet200,n02091134,50,0.74,0.7,0.040000000000000036
imagenet200,n02099712,50,0.76,0.72,0.040000000000000036
imagenet200,n02109525,50,0.92,0.88,0.040000000000000036
imagenet200,n02110958,50,0.92,0.88,0.040000000000000036
imagenet200,n02113624,50,0.54,0.5,0.040000000000000036
imagenet200,n02236044,50,0.68,0.64,0.040000000000000036
imagenet200,n02317335,50,0.86,0.82,0.040000000000000036
imagenet200,n02346627,50,0.86,0.82,0.040000000000000036
imagenet200,n02410509,50,0.88,0.84,0.040000000000000036
imagenet200,n02423022,50,0.66,0.62,0.040000000000000036
imagenet200,n02437616,50,0.86,0.82,0.040000000000000036
imagenet200,n02445715,50,0.9,0.86,0.040000000000000036
imagenet200,n02607072,50,0.92,0.88,0.040000000000000036
imagenet200,n02823750,50,0.74,0.7,0.040000000000000036
imagenet200,n02909870,50,0.56,0.52,0.040000000000000036
imagenet200,n02939185,50,0.54,0.5,0.040000000000000036
imagenet200,n02950826,50,0.9,0.86,0.040000000000000036
imagenet200,n03452741,50,0.74,0.7,0.040000000000000036
imagenet200,n07753275,50,0.9,0.86,0.040000000000000036
imagenet200,n07753592,50,0.86,0.82,0.040000000000000036
imagenet200,n09835506,50,0.78,0.74,0.040000000000000036
imagenet200,n03498962,50,0.42,0.38,0.03999999999999998
imagenet200,n02071294,50,0.94,0.9,0.039999999999999925
imagenet200,n02113023,50,0.84,0.8,0.039999999999999925
imagenet200,n02113799,50,0.84,0.8,0.039999999999999925
imagenet200,n02279972,50,0.94,0.9,0.039999999999999925
imagenet200,n02841315,50,0.6,0.56,0.039999999999999925
imagenet200,n03124170,50,0.7,0.66,0.039999999999999925
imagenet200,n03495258,50,0.94,0.9,0.039999999999999925
imagenet200,n03888257,50,0.94,0.9,0.039999999999999925
imagenet200,n04552348,50,0.84,0.8,0.039999999999999925
imagenet200,n12267677,50,0.96,0.92,0.039999999999999925
imagenet200,n01443537,50,0.92,0.9,0.020000000000000018
imagenet200,n01498041,50,0.78,0.76,0.020000000000000018
imagenet200,n01534433,50,1.0,0.98,0.020000000000000018
imagenet200,n01614925,50,0.96,0.94,0.020000000000000018
imagenet200,n01630670,50,0.66,0.64,0.020000000000000018
imagenet200,n01644373,50,0.84,0.82,0.020000000000000018
imagenet200,n01847000,50,0.86,0.84,0.020000000000000018
imagenet200,n01983481,50,0.8,0.78,0.020000000000000018
imagenet200,n02086240,50,0.76,0.74,0.020000000000000018
imagenet200,n02110341,50,0.96,0.94,0.020000000000000018
imagenet200,n02112018,50,1.0,0.98,0.020000000000000018
imagenet200,n02114367,50,0.76,0.74,0.020000000000000018
imagenet200,n02134084,50,0.86,0.84,0.020000000000000018
imagenet200,n02395406,50,0.52,0.5,0.020000000000000018
imagenet200,n02480495,50,0.86,0.84,0.020000000000000018
imagenet200,n02483362,50,0.78,0.76,0.020000000000000018
imagenet200,n02486410,50,0.86,0.84,0.020000000000000018
imagenet200,n02672831,50,0.88,0.86,0.020000000000000018
imagenet200,n02769748,50,0.38,0.36,0.020000000000000018
imagenet200,n02802426,50,0.86,0.84,0.020000000000000018
imagenet200,n02948072,50,0.6,0.58,0.020000000000000018
imagenet200,n03345487,50,0.8,0.78,0.020000000000000018
imagenet200,n03630383,50,0.8,0.78,0.020000000000000018
imagenet200,n03649909,50,0.76,0.74,0.020000000000000018
imagenet200,n04086273,50,0.8,0.78,0.020000000000000018
imagenet200,n04536866,50,0.64,0.62,0.020000000000000018
imagenet200,n07745940,50,0.6,0.58,0.020000000000000018
imagenet200,n09472597,50,0.88,0.86,0.020000000000000018
imagenet200,n01833805,50,0.94,0.92,0.019999999999999907
imagenet200,n02793495,50,0.94,0.92,0.019999999999999907
imagenet200,n02883205,50,0.58,0.56,0.019999999999999907
imagenet200,n01518878,50,0.96,0.96,0.0
imagenet200,n01531178,50,0.96,0.96,0.0
imagenet200,n01616318,50,0.92,0.92,0.0
imagenet200,n01632777,50,0.88,0.88,0.0
imagenet200,n01677366,50,0.8,0.8,0.0
imagenet200,n01770393,50,0.86,0.86,0.0
imagenet200,n01774750,50,0.94,0.94,0.0
imagenet200,n01806143,50,0.9,0.9,0.0
imagenet200,n01882714,50,0.82,0.82,0.0
imagenet200,n01986214,50,0.82,0.82,0.0
imagenet200,n02007558,50,0.96,0.96,0.0
imagenet200,n02066245,50,0.84,0.84,0.0
imagenet200,n02091032,50,0.8,0.8,0.0
imagenet200,n02108089,50,0.7,0.7,0.0
imagenet200,n02129165,50,0.96,0.96,0.0
imagenet200,n02130308,50,0.96,0.96,0.0
imagenet200,n02206856,50,0.7,0.7,0.0
imagenet200,n02226429,50,0.62,0.62,0.0
imagenet200,n02356798,50,0.8,0.8,0.0
imagenet200,n02363005,50,0.76,0.76,0.0
imagenet200,n02398521,50,0.88,0.88,0.0
imagenet200,n02447366,50,0.84,0.84,0.0
imagenet200,n02480855,50,0.82,0.82,0.0
imagenet200,n02481823,50,0.8,0.8,0.0
imagenet200,n02966193,50,0.96,0.96,0.0
imagenet200,n02992529,50,0.72,0.72,0.0
imagenet200,n03272010,50,0.66,0.66,0.0
imagenet200,n03930630,50,0.6,0.6,0.0
imagenet200,n03947888,50,0.76,0.76,0.0
imagenet200,n04118538,50,0.8,0.8,0.0
imagenet200,n04146614,50,0.94,0.94,0.0
imagenet200,n04147183,50,0.8,0.8,0.0
imagenet200,n04310018,50,0.92,0.92,0.0
imagenet200,n04347754,50,0.74,0.74,0.0
imagenet200,n07714990,50,0.88,0.88,0.0
imagenet200,n07718472,50,0.68,0.68,0.0
imagenet200,n07873807,50,0.8,0.8,0.0
imagenet200,n02510455,50,0.92,0.94,-0.019999999999999907
imagenet200,n02701002,50,0.92,0.94,-0.019999999999999907
imagenet200,n02797295,50,0.68,0.7,-0.019999999999999907
imagenet200,n04409515,50,0.8,0.82,-0.019999999999999907
imagenet200,n01748264,50,0.88,0.9,-0.020000000000000018
imagenet200,n01784675,50,0.7,0.72,-0.020000000000000018
imagenet200,n01820546,50,0.98,1.0,-0.020000000000000018
imagenet200,n01860187,50,0.96,0.98,-0.020000000000000018
imagenet200,n01944390,50,0.82,0.84,-0.020000000000000018
imagenet200,n02092339,50,0.88,0.9,-0.020000000000000018
imagenet200,n02099601,50,0.88,0.9,-0.020000000000000018
imagenet200,n02106662,50,0.76,0.78,-0.020000000000000018
imagenet200,n02108915,50,0.82,0.84,-0.020000000000000018
imagenet200,n02233338,50,0.7,0.72,-0.020000000000000018
imagenet200,n02268443,50,0.76,0.78,-0.020000000000000018
imagenet200,n02391049,50,0.96,0.98,-0.020000000000000018
imagenet200,n03676483,50,0.72,0.74,-0.020000000000000018
imagenet200,n04465501,50,0.74,0.76,-0.020000000000000018
imagenet200,n07614500,50,0.6,0.62,-0.020000000000000018
imagenet200,n07693725,50,0.58,0.6,-0.020000000000000018
imagenet200,n07697537,50,0.76,0.78,-0.020000000000000018
imagenet200,n07749582,50,0.76,0.78,-0.020000000000000018
imagenet200,n01484850,50,0.8,0.84,-0.039999999999999925
imagenet200,n02077923,50,0.78,0.82,-0.039999999999999925
imagenet200,n02106550,50,0.78,0.82,-0.039999999999999925
imagenet200,n07880968,50,0.8,0.84,-0.039999999999999925
imagenet200,n02088466,50,0.44,0.48,-0.03999999999999998
imagenet200,n01843383,50,0.82,0.86,-0.040000000000000036
imagenet200,n02085620,50,0.58,0.62,-0.040000000000000036
imagenet200,n02112137,50,0.86,0.9,-0.040000000000000036
imagenet200,n02128757,50,0.88,0.92,-0.040000000000000036
imagenet200,n02906734,50,0.6,0.64,-0.040000000000000036
imagenet200,n07714571,50,0.82,0.86,-0.040000000000000036
imagenet200,n07768694,50,0.86,0.9,-0.040000000000000036
imagenet200,n02102318,50,0.68,0.74,-0.05999999999999994
imagenet200,n02190166,50,0.74,0.8,-0.06000000000000005
imagenet200,n04389033,50,0.72,0.78,-0.06000000000000005
imagenet200,n01855672,50,0.74,0.82,-0.07999999999999996
imagenet200,n02526121,50,0.64,0.72,-0.07999999999999996
imagenet200,n04325704,50,0.42,0.5,-0.08000000000000002
imagenet200,n03710193,50,0.7,0.78,-0.08000000000000007
imagenet200,n02106030,50,0.46,0.6,-0.13999999999999996
